"filename", "language", "Dart", "comment", "blank", "total"
"d:\Flutter Application\book_store_manager\lib\screens\notification\views\notifications_list.dart", "Dart", 76, 0, 14, 90
"d:\Flutter Application\book_store_manager\lib\screens\order_details\bloc\order_details_bloc.dart", "Dart", 84, 7, 16, 107
"d:\Flutter Application\book_store_manager\lib\screens\order_details\bloc\order_details_event.dart", "Dart", 30, 1, 15, 46
"d:\Flutter Application\book_store_manager\lib\screens\order_details\bloc\order_details_state.dart", "Dart", 24, 0, 5, 29
"d:\Flutter Application\book_store_manager\lib\screens\order_details\order_details_page.dart", "Dart", 268, 1, 16, 285
"d:\Flutter Application\book_store_manager\lib\screens\order_details\views\confirm_button.dart", "Dart", 159, 0, 5, 164
"d:\Flutter Application\book_store_manager\lib\screens\order_details\views\deliver_button.dart", "Dart", 64, 0, 4, 68
"d:\Flutter Application\book_store_manager\lib\screens\order_details\views\order_status.dart", "Dart", 42, 0, 4, 46
"d:\Flutter Application\book_store_manager\lib\screens\order_details\views\overview_information.dart", "Dart", 88, 0, 4, 92
"d:\Flutter Application\book_store_manager\lib\screens\order_details\views\prepare_button.dart", "Dart", 64, 0, 4, 68
"d:\Flutter Application\book_store_manager\lib\screens\order_details\views\product_item.dart", "Dart", 76, 5, 5, 86
"d:\Flutter Application\book_store_manager\lib\screens\order_details\views\row_info.dart", "Dart", 33, 0, 4, 37
"d:\Flutter Application\book_store_manager\lib\screens\order_details\views\row_info_space.dart", "Dart", 45, 0, 4, 49
"d:\Flutter Application\book_store_manager\lib\screens\order_done\bloc\order_done_bloc.dart", "Dart", 122, 0, 25, 147
"d:\Flutter Application\book_store_manager\lib\screens\order_done\bloc\order_done_event.dart", "Dart", 19, 0, 10, 29
"d:\Flutter Application\book_store_manager\lib\screens\order_done\bloc\order_done_state.dart", "Dart", 45, 0, 5, 50
"d:\Flutter Application\book_store_manager\lib\screens\order_done\order_done_page.dart", "Dart", 224, 0, 6, 230
"d:\Flutter Application\book_store_manager\lib\screens\order_done\views\calendar_button.dart", "Dart", 79, 0, 5, 84
"d:\Flutter Application\book_store_manager\lib\screens\order_done\views\filter_button.dart", "Dart", 107, 1, 5, 113
"d:\Flutter Application\book_store_manager\lib\screens\order_done\views\indicator.dart", "Dart", 41, 0, 4, 45
"d:\Flutter Application\book_store_manager\lib\screens\order_done\views\order_creator.dart", "Dart", 12, 0, 3, 15
"d:\Flutter Application\book_store_manager\lib\screens\order_done\views\order_list.dart", "Dart", 41, 0, 7, 48
"d:\Flutter Application\book_store_manager\lib\screens\order_done\views\search_order_field.dart", "Dart", 76, 0, 8, 84
"d:\Flutter Application\book_store_manager\lib\screens\order_status\delivering\bloc\delivering_order_bloc.dart", "Dart", 61, 19, 17, 97
"d:\Flutter Application\book_store_manager\lib\screens\order_status\delivering\bloc\delivering_order_event.dart", "Dart", 11, 0, 6, 17
"d:\Flutter Application\book_store_manager\lib\screens\order_status\delivering\bloc\delivering_order_state.dart", "Dart", 20, 0, 5, 25
"d:\Flutter Application\book_store_manager\lib\screens\order_status\delivering\order_delivering_page.dart", "Dart", 39, 0, 7, 46
"d:\Flutter Application\book_store_manager\lib\screens\order_status\order_status_page.dart", "Dart", 130, 0, 10, 140
